,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
11,Sentosa Island,2023,9,12,0.0,0.0,0.0,0.0,28.7,32.3,27.4,5.8,30.2
12,Sentosa Island,2023,9,13,0.0,0.0,0.0,0.0,29.3,33.3,27.4,6.3,22.0
13,Sentosa Island,2023,9,14,0.0,0.0,0.0,0.0,29.5,33.4,27.3,7.0,23.7
14,Sentosa Island,2023,9,15,0.0,0.0,0.0,0.0,29.5,33.7,27.3,7.7,27.0
15,Sentosa Island,2023,9,16,0.0,0.0,0.0,0.0,29.2,33.3,27.5,6.9,27.4
16,Sentosa Island,2023,9,17,0.0,0.0,0.0,0.0,28.8,32.2,26.9,5.9,29.1
17,Sentosa Island,2023,9,18,0.0,0.0,0.0,0.0,28.7,32.4,26.0,5.7,23.3
18,Sentosa Island,2023,9,19,0.6,0.6,0.6,0.6,29.1,34.9,27.1,6.6,24.8
19,Sentosa Island,2023,9,20,27.8,20.4,25.0,27.6,27.7,32.8,24.6,4.8,23.0
20,Sentosa Island,2023,9,21,10.4,4.4,6.4,9.0,27.6,31.6,24.7,6.4,43.9
21,Sentosa Island,2023,9,22,0.0,0.0,0.0,0.0,28.5,31.7,26.5,6.7,26.3
22,Sentosa Island,2023,9,23,0.0,0.0,0.0,0.0,28.5,31.3,26.5,4.1,15.2
23,Sentosa Island,2023,9,24,36.4,20.4,27.4,30.8,26.7,28.3,23.2,4.8,28.5
24,Sentosa Island,2023,9,25,0.0,0.0,0.0,0.0,28.1,30.8,25.4,5.7,23.7
25,Sentosa Island,2023,9,26,0.0,0.0,0.0,0.0,29.2,33.2,27.1,6.4,29.1
26,Sentosa Island,2023,9,27,0.0,0.0,0.0,0.0,29.6,33.5,27.6,7.5,28.9
27,Sentosa Island,2023,9,28,0.0,0.0,0.0,0.0,29.5,33.4,27.4,7.0,21.7
28,Sentosa Island,2023,9,29,0.0,0.0,0.0,0.0,29.2,33.8,27.4,5.5,20.6
29,Sentosa Island,2023,9,30,1.6,1.6,1.6,1.6,28.0,31.5,26.8,4.1,20.6
0,Sentosa Island,2023,10,1,0.0,0.0,0.0,0.0,28.8,32.5,26.5,4.3,28.5
1,Sentosa Island,2023,10,2,0.0,0.0,0.0,0.0,29.4,32.5,27.1,5.9,20.9
2,Sentosa Island,2023,10,3,0.2,0.2,0.2,0.2,27.7,30.4,25.9,6.6,38.9
3,Sentosa Island,2023,10,4,0.0,0.0,0.0,0.0,29.0,33.6,26.4,4.8,20.2
4,Sentosa Island,2023,10,5,0.0,0.0,0.0,0.0,29.7,35.3,27.4,5.5,28.9
5,Sentosa Island,2023,10,6,0.0,0.0,0.0,0.0,29.6,33.9,27.6,5.5,22.0
6,Sentosa Island,2023,10,7,0.0,0.0,0.0,0.0,29.9,34.3,27.7,5.2,22.6
7,Sentosa Island,2023,10,8,0.0,0.0,0.0,0.0,29.5,34.0,27.0,5.2,22.6
8,Sentosa Island,2023,10,9,18.4,12.2,13.4,17.4,28.6,32.3,24.3,5.3,23.3
9,Sentosa Island,2023,10,10,0.0,0.0,0.0,0.0,29.3,33.4,27.5,4.9,29.4
10,Sentosa Island,2023,10,11,0.0,0.0,0.0,0.0,29.4,32.2,27.3,4.8,23.3
11,Sentosa Island,2023,10,12,0.0,0.0,0.0,0.0,29.9,34.9,27.8,5.7,22.6
12,Sentosa Island,2023,10,13,0.0,0.0,0.0,0.0,29.6,33.1,27.2,5.4,21.7
13,Sentosa Island,2023,10,14,0.0,0.0,0.0,0.0,29.6,33.0,27.6,5.4,18.0
14,Sentosa Island,2023,10,15,0.0,0.0,0.0,0.0,29.8,33.0,27.2,5.8,21.7
15,Sentosa Island,2023,10,16,2.8,2.8,2.8,2.8,29.5,32.5,25.0,5.2,36.3
16,Sentosa Island,2023,10,17,0.0,0.0,0.0,2.8,29.6,32.9,26.7,5.7,20.6
17,Sentosa Island,2023,10,18,38.8,23.0,25.4,31.2,27.3,32.9,24.1,4.1,29.8
18,Sentosa Island,2023,10,19,0.0,0.0,0.0,0.0,28.7,33.0,26.1,5.2,27.4
19,Sentosa Island,2023,10,20,0.0,0.0,0.0,0.0,28.5,31.7,27.1,4.8,26.3
20,Sentosa Island,2023,10,21,0.0,0.0,0.0,0.0,28.6,32.6,26.8,4.2,20.6
21,Sentosa Island,2023,10,22,13.4,8.4,8.4,13.4,27.8,32.4,24.5,4.2,25.6
22,Sentosa Island,2023,10,23,9.2,9.0,9.0,9.0,28.2,32.9,25.7,3.7,28.9
23,Sentosa Island,2023,10,24,0.0,0.0,0.0,0.0,28.8,33.7,26.5,4.4,20.2
24,Sentosa Island,2023,10,25,0.0,0.0,0.0,0.0,28.1,31.4,26.0,5.3,24.8
25,Sentosa Island,2023,10,26,0.6,0.4,0.4,0.6,29.0,31.5,26.5,5.3,21.7
26,Sentosa Island,2023,10,27,0.0,0.0,0.0,0.0,29.7,34.0,27.0,4.3,26.3
27,Sentosa Island,2023,10,28,2.4,1.8,1.8,1.8,27.8,32.1,25.2,4.4,29.1
28,Sentosa Island,2023,10,29,0.4,0.4,0.4,0.4,28.9,33.1,25.9,4.5,22.4
29,Sentosa Island,2023,10,30,25.4,24.4,25.4,25.4,28.5,33.1,23.7,4.7,38.9
30,Sentosa Island,2023,10,31,17.6,13.4,14.8,17.6,28.2,33.9,24.7,3.9,30.9
0,Sentosa Island,2023,11,1,0.0,0.0,0.0,0.0,28.5,31.9,26.1,4.9,24.8
1,Sentosa Island,2023,11,2,0.0,0.0,0.0,0.0,29.6,33.0,26.2,4.0,17.2
2,Sentosa Island,2023,11,3,0.0,0.0,0.0,0.0,29.6,32.3,27.2,4.7,19.4
3,Sentosa Island,2023,11,4,0.0,0.0,0.0,0.0,29.1,34.7,27.3,3.9,27.8
4,Sentosa Island,2023,11,5,0.0,0.0,0.0,0.0,29.1,33.8,27.3,4.0,19.1
5,Sentosa Island,2023,11,6,0.0,0.0,0.0,0.0,29.3,33.0,27.2,3.8,18.3
6,Sentosa Island,2023,11,7,3.2,3.2,3.2,3.2,28.6,33.9,25.5,4.3,29.8
7,Sentosa Island,2023,11,8,0.0,0.0,0.0,0.0,28.4,31.0,26.2,5.3,27.8
8,Sentosa Island,2023,11,9,0.0,0.0,0.0,0.0,28.7,32.8,26.8,5.0,28.2
9,Sentosa Island,2023,11,10,0.0,0.0,0.0,0.0,29.4,33.0,28.0,5.7,22.6
10,Sentosa Island,2023,11,11,0.0,0.0,0.0,0.0,29.7,33.8,26.9,4.9,27.0
11,Sentosa Island,2023,11,12,0.0,0.0,0.0,0.0,29.1,32.5,27.4,4.5,20.6
12,Sentosa Island,2023,11,13,4.2,4.2,4.2,4.2,29.2,34.8,26.1,3.9,28.2
13,Sentosa Island,2023,11,14,28.4,22.8,27.6,28.2,27.4,32.5,25.2,4.4,31.7
14,Sentosa Island,2023,11,15,0.0,0.0,0.0,0.0,28.7,33.1,25.9,5.2,24.4
15,Sentosa Island,2023,11,16,16.0,15.4,16.0,16.0,28.2,32.8,25.3,4.2,22.6
16,Sentosa Island,2023,11,17,2.2,2.2,2.2,2.2,28.1,32.8,25.9,3.4,22.6
17,Sentosa Island,2023,11,18,51.8,30.4,36.4,37.2,28.0,33.3,24.8,4.3,53.7
18,Sentosa Island,2023,11,19,0.0,0.0,0.0,0.0,27.9,30.1,26.1,4.0,25.2
19,Sentosa Island,2023,11,20,0.0,0.0,0.0,0.0,28.4,31.8,26.0,5.3,25.6
20,Sentosa Island,2023,11,21,17.4,5.0,8.0,13.8,27.5,31.5,25.8,4.5,35.9
21,Sentosa Island,2023,11,22,0.0,0.0,0.0,0.0,28.1,31.3,25.9,6.2,29.8
22,Sentosa Island,2023,11,23,6.4,4.0,4.2,5.2,28.1,32.4,23.8,6.1,36.7
23,Sentosa Island,2023,11,24,5.2,4.8,5.2,5.2,27.6,31.6,25.0,5.4,73.2
24,Sentosa Island,2023,11,25,0.8,0.4,0.6,0.6,27.3,30.5,26.0,3.9,27.0
25,Sentosa Island,2023,11,26,2.6,2.6,2.6,2.6,27.3,32.0,25.6,3.9,18.7
26,Sentosa Island,2023,11,27,0.0,0.0,0.0,0.0,27.6,31.0,25.6,4.6,30.6
27,Sentosa Island,2023,11,28,39.4,24.0,33.8,38.6,27.7,33.3,24.7,4.2,50.7
28,Sentosa Island,2023,11,29,1.0,1.0,1.0,1.0,27.6,31.6,25.5,3.3,16.5
29,Sentosa Island,2023,11,30,69.6,27.8,28.4,46.2,27.1,33.3,24.4,4.4,48.2
0,Sentosa Island,2023,12,1,    12.6,     2.6,     4.6,     8.4,    26.9,    31.4,    24.2,     3.9,    72.8
1,Sentosa Island,2023,12,2,     0.0,     0.0,     0.0,     0.0,    28.4,    32.1,    25.8,     4.2,    16.5
2,Sentosa Island,2023,12,3,     0.8,     0.6,     0.8,     0.8,    26.7,    27.7,    25.5,     3.6,    37.4
3,Sentosa Island,2023,12,4,     0.2,     0.2,     0.2,     0.2,    27.1,    29.3,    25.6,     4.8,    32.4
4,Sentosa Island,2023,12,5,     4.0,     3.4,     3.8,     3.8,    28.0,    33.5,    24.8,     3.7,    35.0
5,Sentosa Island,2023,12,6,    28.6,     9.2,    15.4,    20.4,    26.3,    32.3,    24.1,     4.4,    27.4
6,Sentosa Island,2023,12,7,     3.6,     2.6,     3.6,     3.6,    27.1,    33.6,    24.8,     4.1,    24.1
7,Sentosa Island,2023,12,8,    11.6,    10.2,    11.4,    11.6,    28.3,    34.1,    25.5,     4.6,    27.0
8,Sentosa Island,2023,12,9,     0.5,     0.5,     0.5,     0.5,    28.1,    31.6,    25.9,     3.8,    27.0
9,Sentosa Island,2023,12,10,     0.0,     0.0,     0.0,     0.0,    28.4,    31.9,    26.3,     3.8,    27.8
10,Sentosa Island,2023,12,11,    13.6,    11.4,    12.8,    13.2,    27.8,    32.8,    25.4,     3.9,    21.3
11,Sentosa Island,2023,12,12,    18.6,     4.8,     6.4,    11.4,    26.3,    31.2,    24.7,     4.3,    69.8
12,Sentosa Island,2023,12,13,-,-,-,-,    27.2,    32.1,    24.7,     3.5,    23.0
13,Sentosa Island,2023,12,14,     0.0,-,-,-,-,-,-,-,-
14,Sentosa Island,2023,12,15,     0.0,     0.0,     0.0,     0.0,    28.8,    33.2,    26.0,     4.4,    20.6
15,Sentosa Island,2023,12,16,    77.6,    45.2,    58.0,    62.6,    27.7,    32.6,    24.3,     3.9,    24.8
16,Sentosa Island,2023,12,17,     6.4,     6.2,     6.2,     6.4,    28.2,    33.1,    25.6,     5.0,    25.9
17,Sentosa Island,2023,12,18,    13.4,    10.4,    10.6,    11.2,    27.8,    31.9,    26.2,     4.0,    23.7
18,Sentosa Island,2023,12,19,    15.4,    14.4,    14.8,    15.0,    27.4,    31.8,    24.9,     4.1,    28.5
19,Sentosa Island,2023,12,20,     3.0,     3.0,     3.0,     3.0,    27.9,    33.6,    25.6,     4.1,    31.7
20,Sentosa Island,2023,12,21,    11.8,     5.8,     9.6,    11.6,    27.4,    33.2,    25.2,     4.6,    29.4
21,Sentosa Island,2023,12,22,     2.6,     1.2,     1.8,     2.4,    28.1,    32.5,    25.2,     6.5,    31.7
22,Sentosa Island,2023,12,23,     0.0,     0.0,     0.0,     0.0,    26.8,    29.1,    25.4,     5.1,    19.8
23,Sentosa Island,2023,12,24,     1.6,     1.2,     1.4,     1.6,    27.9,    32.2,    25.0,     4.3,    18.3
24,Sentosa Island,2023,12,25,     1.2,     0.6,     1.0,     1.2,    27.1,    31.0,    24.8,     4.5,    36.3
25,Sentosa Island,2023,12,26,     3.6,     3.6,     3.6,     3.6,    27.6,    32.2,    25.5,     4.6,    24.8
26,Sentosa Island,2023,12,27,     4.4,     1.4,     1.8,     3.2,    26.6,    29.6,    25.3,     4.2,    24.8
27,Sentosa Island,2023,12,28,    36.6,    17.2,    19.8,    20.0,    26.6,    31.2,    24.1,     4.2,    24.8
28,Sentosa Island,2023,12,29,    10.8,     9.0,    10.6,    11.8,    28.0,    32.9,    24.9,     4.2,    39.3
29,Sentosa Island,2023,12,30,     3.0,     1.8,     2.0,     2.2,    27.9,    32.2,    26.4,     4.2,    25.2
30,Sentosa Island,2023,12,31,     3.0,     0.8,     1.2,     1.2,    26.4,    28.1,    25.5,     3.9,    25.9
