Timestamp,How long has it been since your last visit to USS?,Are you Singaporean/PR or Foreigner?,Which age group do you belong to?,Did you visit the theme park with other people?,Choose the top 3 amenities / attractions that are most important to you when you visit the theme park.,Does anyone in your group require special needs access (e.g. wheelchair access)?,Do you accompany children (aged 12 and below) and elders (aged 60 and above) to the theme park?,Does anyone in your group require special needs access (e.g. wheelchair access)?,Do you accompany children (aged 12 and below) to the theme park?,Rank the following theme park zones based on the order in which you visited them. [New York],Rank the following theme park zones based on the order in which you visited them. [Hollywood],Rank the following theme park zones based on the order in which you visited them. [Sci-Fi City],Rank the following theme park zones based on the order in which you visited them. [Madagascar],Rank the following theme park zones based on the order in which you visited them. [Far Far Away],Rank the following theme park zones based on the order in which you visited them. [Ancient Egypt],Rank the following theme park zones based on the order in which you visited them. [The Lost World],Roller Coaster,Water-Based Rides,Haunted House and/or Dark Elements,Simulators and/or 3D/4D experiences (e.g. Shrek),Rides with spinning elements (e.g. 360 degree swing),Child-Friendly Rides (e.g. Teacups),Which of the following rides would you like to see in USS?,Which platform did you purchase your tickets from?,Did you receive a discount for your entrance ticket?,Did you purchase an Express Pass?,What day of the week did you visit?,"Arrange the following activities in the order in which you experienced them during your visit.
A. Go to the rollercoasters
B. Go to the Water-based rides
C. Go to the F&B outlet
D. Go and shop for souvenirs
E. Go for a water/restroom break
G. Go to the child-friendly rides
H. Go to the Haunted House
I. Go to the Simulator rides
J. Sightseeing
K. Go to the Spinning rides",Do you like to buy souvenirs before leaving the theme park?,Did you buy souvenirs in your last visit?,Sitting/resting areas,Sheltered areas,Restrooms/Toilets,Water Coolers,Baby Nursing Rooms,"Special Needs Facilities (e.g. handicapped toilet, wheelchair-accessible ramp)",Did you buy any food or drinks within USS?,Which meals did you have in USS?,Are there sufficient F&B options in USS to choose from?,How accessible are F&B outlets from the various rides and amenities in USS?,"On average, how long did you queue to order food/drinks at a F&B outlet in USS?","After placing your order, how long did you wait for your order to arrive at a F&B outlet in USS?",Do you think the quality of food and drinks sold in USS is worth its price?,How much are you willing to spend on food and drinks in USS (per person in your group)?,How would you rate the cleanliness of the restrooms?,"How would you rate the overall cleanliness of the theme park (e.g. litter, odour)?",To what extent does the weather affect your experience?,How did you find your visit?,Would you visit Universal Studios again?,Could you elaborate on why you would / would not visit USS again?
2024/10/22 9:31:43 pm GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with friend(s),"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,4th,7th,5th,Did not visit,3rd,2nd,6th,5,1,3,4,4,1,Free-Fall Towers,Official USS Website/Ticketing counter,Yes,No,Off-peak Weekday,A E C I K D J,Yes,No,3,4,4,3,,,Yes,Lunch,4,3,20 to 25 minutes,15 to 20 minutes,3,$20 - $40,3,4,5,Good,Yes,
2024/10/22 9:42:53 pm GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with family,Rides;Restroom / Baby Nursing Room;Shelter,No,None of the above,,,6th,1st,3rd,5th,2nd,4th,7th,5,4,4,5,3,1,Free-Fall Towers;Shooting Simulators,Official USS Website/Ticketing counter,No,No,Peak Weekday (School Holiday),A H B I K E C G K J,No,No,4,2,3,1,,,Yes,Lunch,4,4,15 to 20 minutes,10 to 15 minutes,3,$20 - $40,4,4,4,Love it!,Yes,"i love the overall vibes of the place, the atmosphere is bustling, and the rides are fun! i have many great memories associated with USS - like celebrations etc..."
2024/10/22 10:32:46 pm GMT+8,More than 5 years,I am a Singaporean/PR,18-25,I am visiting with family,"Restaurants / Food Stops;Seating Zone;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,I accompany elders aged 60 and above,,,4th,3rd,1st,5th,6th,7th,2nd,1,1,1,1,1,5,Ferris Wheel;Bumper Cars;Carousel (e.g. Merry-go-round),Official USS Website/Ticketing counter,No,No,Off-peak Weekday,J G B A C E H I K,No,No,3,3,3,3,3,3,Yes,Lunch,3,3,15 to 20 minutes,15 to 20 minutes,1,Less than $20,3,3,3,Neutral,No,I have motion sickness
2024/10/22 11:44:30 pm GMT+8,Less than 5 years,I am a foreigner,18-25,I am visiting with friend(s),"Rides;Seating Zone;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,2nd,1st,3rd,7th,6th,4th,5th,5,5,5,2,5,1,Free-Fall Towers;any flying simulator attraction like “The Flying Dinosaur” in Japan,"Travel Agency Websites (e.g. Klook, Agoda etc.)",Yes,No,Weekend,H A K B E C I J G D,No,No,2,2,4,3,,,Yes,Dinner,3,3,15 to 20 minutes,15 to 20 minutes,1,Less than $20,2,4,3,Good,Yes,
2024/10/23 11:37:25 am GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with family,"Rides;Water Cooler;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,I accompany children aged 12 and below,,,Did not visit,3rd,5th,2nd,4th,1st,7th,5,5,5,5,3,1,Bumper Cars;Shooting Simulators,"Travel Agency Websites (e.g. Klook, Agoda etc.)",No,No,Peak Weekday (School Holiday),A B C E H I K J D,No,Yes,3,2,4,1,,,Yes,Lunch,3,5,10 to 15 minutes,10 to 15 minutes,1,Less than $20,4,4,5,Good,Yes,i would go more often if the price of the ticket is less exorbitant
2024/10/23 8:50:29 pm GMT+8,Less than 5 years,I am a Singaporean/PR,26-35,I am visiting with family,Rides;Restaurants / Food Stops;Shelter,No,None of the above,,,Did not visit,4th,1st,5th,3rd,2nd,6th,5,2,1,1,3,1,Free-Fall Towers;Bumper Cars;Shooting Simulators,"Travel Agency Websites (e.g. Klook, Agoda etc.)",Yes,No,Weekend,A C I B E D,No,No,4,3,4,4,,,Yes,Lunch;Dinner,4,4,15 to 20 minutes,15 to 20 minutes,2,$20 - $40,4,4,5,Good,No,Entrance ticket is too expensive for such a small theme park
2024/10/23 9:01:16 pm GMT+8,Less than 5 years,I am a Singaporean/PR,36-59,I am visiting with family,Rides;Restroom / Baby Nursing Room;Restaurants / Food Stops,No,None of the above,,,6th,7th,1st,4th,3rd,2nd,5th,2,1,1,2,1,1,Ferris Wheel;Bumper Cars,Official USS Website/Ticketing counter,No,No,Off-peak Weekday,I A C E D ,Yes,No,4,2,3,2,,,Yes,Lunch,2,2,15 to 20 minutes,10 to 15 minutes,2,$20 - $40,2,2,5,Neutral,No,Theme park is too small compared to other countries
2024/10/23 9:02:53 pm GMT+8,Less than 5 years,I am a Singaporean/PR,36-59,I am visiting with family,Restroom / Baby Nursing Room;Seating Zone;Shelter,No,None of the above,,,2nd,1st,3rd,7th,6th,4th,5th,1,3,1,3,1,1,Bumper Cars,"Travel Agency Websites (e.g. Klook, Agoda etc.)",Yes,No,Weekend,B I E K C D,Yes,No,1,1,3,2,,,Yes,Lunch,2,1,10 to 15 minutes,10 to 15 minutes,1,Less than $20,3,3,5,Neutral,No,"Weather is too hot, insufficient shelter"
2024/10/23 9:03:51 pm GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with friend(s),Rides;Restaurants / Food Stops;Shelter,No,None of the above,,,4th,4th,1st,3rd,2nd,2nd,2nd,4,1,1,4,3,2,Shooting Simulators;,Official USS Website/Ticketing counter,No,No,Off-peak Weekday,A B I J,No,No,3,2,4,3,4,3,No,,,,,,,,4,4,5,Good,Yes,Love the rides  new minion land coming up
2024/10/23 9:21:17 pm GMT+8,Less than 5 years,I am a Singaporean/PR,26-35,I am visiting with family,"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,2nd,1st,3rd,Did not visit,6th,4th,5th,4,1,2,2,4,1,Free-Fall Towers;Bumper Cars,Official USS Website/Ticketing counter,No,No,Weekend,J I H A E C B,No,No,2,2,2,2,2,2,Yes,Lunch,2,1,Less than 10 minutes,10 to 15 minutes,2,Less than $20,4,4,5,Neutral,No,"rides were closed, weather, rides were pretty mild and few"
2024/10/23 9:52:24 pm GMT+8,More than 5 years,I am a Singaporean/PR,26-35,I am visiting with friend(s),Rides;Restaurants / Food Stops;Shelter,No,None of the above,,,7th,4th,1st,6th,5th,3rd,2nd,4,3,2,4,3,2,Free-Fall Towers;Bumper Cars;Shooting Simulators,Official USS Website/Ticketing counter,No,No,Peak Weekday (School Holiday),A I J C E B H J E K G D,Yes,Yes,3,3,3,3,,,Yes,Lunch,3,3,15 to 20 minutes,20 to 25 minutes,2,Less than $20,3,3,5,Neutral,Yes,I wouldn’t mind going again if there are new rides.
2024/10/23 9:57:23 pm GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,Work colleagues,Rides;Restaurants / Food Stops;Water Cooler,No,None of the above,,,5th,1st,2nd,Did not visit,4th,Did not visit,3rd,5,2,1,3,3,1,"Bumper Cars;Wipeout ride (Gold Coast, Dreamworld), Backwards roller coaster (USJ)",Procured by company as it was a company event,No,No,Off-peak Weekday,I B K C E C I A,No,No,2,2,2,2,,,Yes,Lunch,1,2,15 to 20 minutes,10 to 15 minutes,1,Less than $20,4,4,3,Neutral,Yes,
2024/10/25 5:58:35 pm GMT+8,Less than 1 year,I am a foreigner,36-59,I am visiting with family,"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,I accompany children aged 12 and below,,,4th,3rd,6th,2nd,1st,7th,5th,2,4,3,4,3,5,Ferris Wheel;Bumper Cars;Shooting Simulators;Carousel (e.g. Merry-go-round),Official USS Website/Ticketing counter,No,No,Off-peak Weekday,G I D C E B J K D ,Yes,Yes,4,5,5,5,5,5,Yes,Lunch,1,2,10 to 15 minutes,15 to 20 minutes,1,$20 - $40,5,5,2,Good,Yes,"It was fun but many rides were closed and lines were long, not many options for young kids and character entertainment is also met with long lines. The website says the park closes at 7 but it closed at 5 with no prior notice and because of this we missed out on many experiences. Buying tickets was also difficult and there were no express passes available. Would be nice if management picked up the overall quality and provided better standard with adequate time to enjoy the park."
2024/10/25 6:05:34 pm GMT+8,Less than 1 year,I am a foreigner,26-35,I am visiting with friend(s),"Rides;Water Cooler;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,2nd,Did not visit,1st,3rd,5th,4th,6th,5,5,5,5,3,3,Free-Fall Towers;Shooting Simulators,"Travel Agency Websites (e.g. Klook, Agoda etc.)",No,Yes,Off-peak Weekday,A C B H I E J,No,No,4,4,4,4,,,No,,,,,,,,5,5,2,Good,Yes,One of the most attractive places I've ever enjoyed in Singapore. I really enjoyed the roller coaster rides and shows.
2024/10/25 6:12:09 pm GMT+8,Less than 5 years,I am a foreigner,26-35,I am visiting with family,"Rides;Restroom / Baby Nursing Room;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,I accompany elders aged 60 and above,,,Did not visit,Did not visit,2nd,5th,4th,1st,3rd,5,5,5,5,3,1,Free-Fall Towers,Official USS Website/Ticketing counter,No,No,Off-peak Weekday,H A I E J,No,No,4,4,4,5,,,No,,,,,,,,5,5,2,Love it!,Yes,One of the most sought tourist destination for people visiting Singapore. It is beautiful and awesome. A bit overpriced for the tickets and very limited time to do all rides. 
2024/10/26 2:47:50 pm GMT+8,Less than 5 years,I am a foreigner,36-59,I am visiting with family,Rides;Restroom / Baby Nursing Room;Restaurants / Food Stops,No,I accompany children aged 12 and below,,,5th,6th,1st,3rd,4th,Did not visit,2nd,3,4,2,5,2,4,Ferris Wheel;Bumper Cars;Carousel (e.g. Merry-go-round),Official USS Website/Ticketing counter,No,Yes,Off-peak Weekday,B J G C E G D ,Yes,Yes,5,5,5,5,,,No,,,,,,,,5,5,2,Love it!,Yes,Children liked the transformers ride and water world show.
2024/10/26 3:44:26 pm GMT+8,Less than 5 years,I am a foreigner,26-35,I am visiting with friend(s),"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,1st,7th,2nd,6th,5th,3rd,4th,5,5,5,5,5,5,Free-Fall Towers;Bumper Cars;Shooting Simulators,Official USS Website/Ticketing counter,No,No,Off-peak Weekday,A H J C B E K D,Yes,Yes,5,5,5,5,,,Yes,Lunch,5,5,15 to 20 minutes,15 to 20 minutes,3,Less than $20,5,5,5,Neutral,No,"Liked the single riders line to fill up empty spaces on rides but all atractions shut at 5pm and the rest of the theme park shortly after that. There is only maximum of 7 hours of visitors to achieve everything including eating/resting, shopping, ride delays from adverse weather. There is not enough time especially without the pricey express pass. Given the price of admission, a longer time should be provided to visitors to utilise the park, especially considering that Hong Kong Disneyland stays open 10-12 hours a day."
2024/10/26 3:58:34 pm GMT+8,Less than 1 year,I am a foreigner,36-59,I am visiting with family,Rides;Restroom / Baby Nursing Room;Restaurants / Food Stops,No,I accompany children aged 12 and below,,,4th,3rd,5th,2nd,1st,Did not visit,6th,4,3,2,4,2,5,Ferris Wheel;Carousel (e.g. Merry-go-round),Official USS Website/Ticketing counter,No,No,Weekend,G I A C E B D,No,No,2,3,4,4,,,No,,,,,,,,5,5,4,Neutral,No,The were queues up to 140 mins. Priority pass was needed and even then up to 30 minutes queue. Restaurants were so busy at lunch it was impossible to get a table. Not the best theme park we’ve visited and not sure it was worth the price tag. One area was also closed when we visited.
2024/10/26 4:22:13 pm GMT+8,Less than 1 year,I am a foreigner,36-59,I am visiting with family,Rides;Restroom / Baby Nursing Room;Restaurants / Food Stops,No,None of the above,,,4th,Did not visit,3rd,5th,1st,Did not visit,2nd,3,4,2,4,3,5,Bumper Cars;Shooting Simulators;Carousel (e.g. Merry-go-round),Official USS Website/Ticketing counter,No,No,Off-peak Weekday,A B E C I J K G D,Yes,Yes,5,5,5,5,,,Yes,Lunch,4,4,10 to 15 minutes,10 to 15 minutes,5,$20 - $40,5,5,1,Good,Yes,Attractions were fun and most were worth the wait. Food outlets were surprisingly good too. But the parks working hours were shortened drastically and this made it difficult to access most of the rides since they all had long waiting times.
2024/10/26 4:29:13 pm GMT+8,Less than 1 year,I am a foreigner,26-35,I am visiting with my partner,"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,4th,3rd,5th,1st,2nd,6th,7th,5,5,5,5,5,4,Free-Fall Towers;Bumper Cars,"Travel Agency Websites (e.g. Klook, Agoda etc.)",No,Yes,Weekend,A B I J K C H ,No,No,4,4,5,5,,,Yes,Lunch,4,4,10 to 15 minutes,15 to 20 minutes,2,$20 - $40,5,5,3,Good,Yes,"There were unique attractions, had a great day for rides but the food was pretty bad, the only negative in an otherwise great day."
2024/10/26 4:36:46 pm GMT+8,Less than 5 years,I am a Singaporean/PR,36-59,I am visiting with family,Rides;Water Cooler;Shelter,No,I accompany children aged 12 and below,,,2nd,3rd,1st,4th,5th,7th,6th,5,5,5,5,5,5,Free-Fall Towers;Bumper Cars;Shooting Simulators,"Travel Agency Websites (e.g. Klook, Agoda etc.)",No,Yes,Off-peak Weekday,A H I K E G B J,No,No,3,4,4,4,,,No,,,,,,,,5,5,5,Love it!,No,
2024/10/26 4:45:48 pm GMT+8,Less than 1 month,I am a foreigner,26-35,I am visiting with my partner,Rides;Water Cooler;Shelter,No,None of the above,,,7th,Did not visit,1st,5th,4th,2nd,3rd,5,5,5,5,5,4,Free-Fall Towers;Bumper Cars;Shooting Simulators,Official USS Website/Ticketing counter,No,No,Off-peak Weekday,H A I C E K B J ,No,No,3,2,5,4,,,Yes,Lunch,3,4,15 to 20 minutes,15 to 20 minutes,3,$20 - $40,5,5,5,Good,Yes,"Had a great time in USS as this was my first time, the place released my inner child. Will definitely be back with my child. Pricey entrance ticket for a theme park this small and everything was also expensive. Ventilation could definitely be improved further."
2024/10/26 6:38:13 pm GMT+8,Less than 1 month,I am a Singaporean/PR,Below 18,I am visiting with friend(s),"Rides;Water Cooler;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,2nd,6th,3rd,Did not visit,5th,1st,4th,5,4,5,4,3,3,Free-Fall Towers,"Travel Agency Websites (e.g. Klook, Agoda etc.)",Yes,No,Off-peak Weekday,A H,No,No,5,4,5,3,4,3,No,,,,,,,,4,3,4,Love it!,Yes,
2024/10/27 9:50:29 pm GMT+8,Less than 1 month,I am a foreigner,36-59,I am visiting with family,"Rides;Water Cooler;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,Did not visit,5th,6th,4th,3rd,1st,2nd,5,4,5,5,5,3,Free-Fall Towers,"Travel Agency Websites (e.g. Klook, Agoda etc.)",No,No,Weekend,A H E I C J A ,No,No,4,4,4,2,,,No,,,,,,,,5,5,5,Good,Yes,"the park offers a wide range of rides. I liked The Mummy the most as it is themed after the iconic film, was a thrilling blend of speed, special effects, and sharp twists that kept my adrenaline pumping."
2024/10/27 9:54:53 pm GMT+8,Less than 1 month,I am a foreigner,36-59,I am visiting with family,Rides;Water Cooler;Seating Zone,No,None of the above,,,6th,Did not visit,1st,4th,5th,2nd,3rd,5,5,5,5,5,5,Free-Fall Towers;Ferris Wheel;Bumper Cars;Shooting Simulators;Carousel (e.g. Merry-go-round),"Travel Agency Websites (e.g. Klook, Agoda etc.)",No,No,Off-peak Weekday,A H B E J I K E G   ,Yes,Yes,4,4,5,5,,,No,,,,,,,,5,5,5,Good,No,
2024/10/27 10:02:37 pm GMT+8,Less than 6 months,I am a foreigner,36-59,I am visiting with family,"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,I accompany children aged 12 and below,,,2nd,3rd,1st,4th,5th,Did not visit,6th,3,4,1,3,3,5,Free-Fall Towers;Ferris Wheel;Bumper Cars;Shooting Simulators,Official USS Website/Ticketing counter,No,No,Off-peak Weekday,A I J K E G D ,Yes,No,5,5,5,5,,,No,,,,,,,,5,5,2,Absolutely Terrible,No,was mind boggling to see that they have just provided tickets without any sense of what's happening inside. The wait time for normal tickets was 120 mins and even those with VIP tickets were waiting 35-45 mins for their turn. Overall experience was bad because of the ticket price and wait time they had given for every ride that just lasted fraction of seconds. Should really improve the management to understand headcount vs wait time/ride.
2024/10/28 1:02:47 am GMT+8,Less than 6 months,I am a foreigner,36-59,I am visiting with family,Rides;Restroom / Baby Nursing Room;Restaurants / Food Stops,No,I accompany children aged 12 and below,,,1st,2nd,7th,3rd,4th,6th,5th,1,1,1,2,2,5,Bumper Cars;Carousel (e.g. Merry-go-round),"Travel Agency Websites (e.g. Klook, Agoda etc.)",No,No,Off-peak Weekday,G J E C E ,No,No,4,4,4,4,4,4,Yes,Lunch,4,4,More than 30 minutes,More than 30 minutes,2,Less than $20,4,4,4,Not great,No,"We went in a week day - Long waits for rides, food very expensive and again long wait times. A wait time of 40 min to an hour for rides.. pretty disappointing. Hollywood street was ok. we then went to HK Disneyland a week later which was just amazing. Try to avoid universal studios... a waste of money in my view."
2024/10/28 2:06:51 pm GMT+8,Less than 6 months,I am a Singaporean/PR,36-59,I am visiting with family,Rides;Restroom / Baby Nursing Room;Shelter,No,I accompany children aged 12 and below;I accompany elders aged 60 and above,,,2nd,4th,7th,3rd,1st,6th,5th,4,4,3,3,4,1,Free-Fall Towers;Bumper Cars;Shooting Simulators,Official USS Website/Ticketing counter,Yes,Yes,Peak Weekday (School Holiday),B E G H I K A D C F J,Yes,Yes,4,3,4,4,3,3,Yes,Dinner,2,4,10 to 15 minutes,10 to 15 minutes,3,$20 - $40,4,4,5,Love it!,Yes,
2024/10/28 2:09:00 pm GMT+8,Less than 5 years,I am a Singaporean/PR,36-59,I am visiting with family,"Restaurants / Food Stops;Seating Zone;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,I accompany children aged 12 and below,,,3rd,4th,1st,6th,5th,2nd,7th,4,3,2,4,2,1,Bumper Cars;Shooting Simulators;Carousel (e.g. Merry-go-round),"Travel Agency Websites (e.g. Klook, Agoda etc.)",Yes,No,Weekend,C F A J K D E B I G H,No,No,3,2,2,1,4,4,No,,,,,,,,2,3,3,Not great,No,
2024/10/28 2:11:42 pm GMT+8,Less than 6 months,I am a Singaporean/PR,18-25,I am visiting with friend(s),"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,2nd,5th,1st,7th,3rd,6th,4th,5,5,5,5,5,4,Free-Fall Towers;Ferris Wheel;Shooting Simulators,Official USS Website/Ticketing counter,Yes,Yes,Public Holiday,I A D F K I H C D E B G J,Yes,Yes,3,4,5,5,4,4,Yes,Lunch,2,3,Less than 10 minutes,Less than 10 minutes,2,$20 - $40,4,4,5,Good,Yes,when there is seasonal themed available
2024/10/28 2:14:19 pm GMT+8,Less than 1 year,I am a Singaporean/PR,60 and above,I am visiting with family,Restaurants / Food Stops;Seating Zone;Shelter,,,No,Yes,2nd,3rd,7th,4th,6th,1st,5th,2,2,2,4,1,3,Carousel (e.g. Merry-go-round),"Travel Agency Websites (e.g. Klook, Agoda etc.)",Yes,No,Off-peak Weekday,J K A B I C H F E D G ,No,No,4,4,4,4,3,2,No,,,,,,,,4,4,4,Love it!,No,
2024/10/28 2:16:41 pm GMT+8,Less than 1 month,I am a Singaporean/PR,Below 18,I am visiting with friend(s),"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,4th,5th,6th,1st,2nd,3rd,7th,5,4,2,4,4,4,Free-Fall Towers;Ferris Wheel;Shooting Simulators,Official USS Website/Ticketing counter,Yes,Yes,Peak Weekday (School Holiday),A I D C E K J B G F H ,Yes,Yes,4,2,2,1,5,5,Yes,Dinner,4,2,15 to 20 minutes,20 to 25 minutes,4,$40 - $60,2,3,4,Good,Yes,
2024/10/28 2:18:43 pm GMT+8,More than 5 years,I am a Singaporean/PR,18-25,I am visiting with family,Rides;Water Cooler;Seating Zone,Yes,I accompany elders aged 60 and above,,,1st,4th,7th,3rd,5th,2nd,6th,4,3,2,5,5,5,Ferris Wheel;Shooting Simulators;Carousel (e.g. Merry-go-round),Official USS Website/Ticketing counter,Yes,No,Weekend,E A G D I B C K J F I H ,No,Yes,4,3,5,5,3,1,Yes,Dinner,3,5,20 to 25 minutes,15 to 20 minutes,3,$20 - $40,4,4,4,Good,No,
2024/10/28 2:20:30 pm GMT+8,Less than 6 months,I am a Singaporean/PR,36-59,I am visiting with family,"Rides;Seating Zone;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",Yes,I accompany children aged 12 and below,,,5th,7th,3rd,1st,2nd,6th,4th,3,4,4,5,3,1,Free-Fall Towers;Ferris Wheel;Bumper Cars;Shooting Simulators;Carousel (e.g. Merry-go-round),"Travel Agency Websites (e.g. Klook, Agoda etc.)",Yes,Yes,Peak Weekday (School Holiday),K J A C E B I D F E G H,Yes,Yes,3,4,2,2,4,3,No,,,,,,,,3,4,4,Good,No,
2024/10/28 2:22:18 pm GMT+8,Less than 1 month,I am a Singaporean/PR,18-25,I am visiting with my partner,Restroom / Baby Nursing Room;Restaurants / Food Stops;Water Cooler,No,None of the above,,,6th,3rd,5th,4th,2nd,7th,1st,2,1,2,2,1,1,Free-Fall Towers;Ferris Wheel;Bumper Cars;Shooting Simulators,"Travel Agency Websites (e.g. Klook, Agoda etc.)",Yes,No,Public Holiday,D E A J K H B I C F G ,Yes,Yes,2,2,1,2,3,3,Yes,Lunch,2,2,25 to 30 minutes,25 to 30 minutes,1,$20 - $40,3,3,5,Not great,No,
2024/10/28 2:24:05 pm GMT+8,Less than 6 months,I am a Singaporean/PR,36-59,I am visiting with family,"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,2nd,7th,6th,4th,1st,5th,2nd,4,4,4,5,5,5,Bumper Cars;Shooting Simulators,Official USS Website/Ticketing counter,Yes,No,Public Holiday,A E B D C E K J G E F I H,Yes,Yes,4,4,5,5,5,5,Yes,Dinner,4,4,10 to 15 minutes,10 to 15 minutes,5,$20 - $40,5,5,4,Love it!,Yes,
2024/10/28 2:26:25 pm GMT+8,Less than 6 months,I am a foreigner,60 and above,I am visiting with family,Restaurants / Food Stops;Water Cooler;Seating Zone,,,No,Yes,1st,3rd,2nd,6th,7th,4th,5th,2,3,2,3,1,4,Carousel (e.g. Merry-go-round),Official USS Website/Ticketing counter,No,No,Peak Weekday (School Holiday),A J K E I G H C D B E F,Yes,Yes,4,4,4,5,3,3,Yes,Dinner,3,3,10 to 15 minutes,10 to 15 minutes,3,$40 - $60,4,4,5,Love it!,No,
2024/10/28 4:12:29 pm GMT+8,Less than 6 months,I am a foreigner,26-35,I am visiting with friend(s),"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,3rd,2nd,4th,1st,Did not visit,5th,Did not visit,5,5,5,5,5,4,Free-Fall Towers;Ferris Wheel;Bumper Cars;Shooting Simulators;Carousel (e.g. Merry-go-round),Official USS Website/Ticketing counter,No,No,Off-peak Weekday,A J I D C E H B K,No,Yes,5,5,5,5,,,Yes,Lunch,5,5,Less than 10 minutes,Less than 10 minutes,4,Less than $20,5,5,5,Love it!,Yes,"experience at USS far exceeded my expectations. The free dance and singing performances were frequent and added a lively atmosphere to the streets, bringing back memories of my childhood. Tickets purchased through the official website also provided a 5% discount on both food and souvenirs which was a nice bonus."
2024/10/28 4:38:10 pm GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with friend(s),Rides;Restroom / Baby Nursing Room;Restaurants / Food Stops,No,None of the above,,,2nd,1st,3rd,7th,6th,4th,5th,5,4,4,3,5,2,Free-Fall Towers;Shooting Simulators,Official USS Website/Ticketing counter,No,No,Off-peak Weekday,A B E H I K C J D,Yes,Yes,3,4,5,5,,,Yes,Dinner,4,4,15 to 20 minutes,10 to 15 minutes,2,$20 - $40,3,4,5,Good,Yes,
2024/10/28 6:18:19 pm GMT+8,Less than 6 months,I am a foreigner,26-35,I am visiting with my partner,Rides;Restaurants / Food Stops;Shelter,No,None of the above,,,7th,1st,6th,2nd,3rd,5th,4th,1,2,1,3,2,4,Ferris Wheel;Carousel (e.g. Merry-go-round),"Travel Agency Websites (e.g. Klook, Agoda etc.)",No,Yes,Off-peak Weekday,J B A K D C E H G I D,Yes,Yes,4,5,4,4,,,Yes,Lunch,3,3,10 to 15 minutes,15 to 20 minutes,2,$20 - $40,5,5,5,Love it!,Yes,If I visit Singapore again with my other friends.
2024/10/28 6:23:59 pm GMT+8,Less than 1 year,I am a Singaporean/PR,36-59,I am visiting with family,Restroom / Baby Nursing Room;Seating Zone;Shelter,No,I accompany children aged 12 and below,,,2nd,1st,3rd,7th,6th,4th,5th,2,4,3,4,2,5,Ferris Wheel;Carousel (e.g. Merry-go-round),Official USS Website/Ticketing counter,No,No,Weekend,I G E J D C E K B H D,Yes,Yes,5,5,5,4,4,,No,,,,,,,,4,4,4,Good,Yes,Good place for family trip.
2024/10/28 6:35:40 pm GMT+8,Less than 1 year,I am a foreigner,26-35,I am visiting with friend(s),Rides;Seating Zone;Shelter,No,None of the above,,,2nd,1st,3rd,7th,5th,4th,6th,5,4,2,5,4,2,Ferris Wheel;Bumper Cars;Shooting Simulators,Official USS Website/Ticketing counter,No,No,Weekend,A I E H D J C E B K D ,Yes,No,4,4,4,3,,,Yes,Dinner,4,3,Less than 10 minutes,Less than 10 minutes,3,Less than $20,5,4,2,Good,Yes,
